teamname1,teamname2,kill1,kill2,baronkill1,baronkill2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,team_1_win,team_2_win,name_1_country,name_2_country,scheduleid,game_date
GIA,H2K,3,17,0,1,17,3,0,3,35452,52010,3,42,1,10,0,1,EU,EU,715,2015-01-31
Team MRN,DIG,9,21,0,0,21,9,0,0,43707,61685,18,50,0,0,0,1,US,US,73,2013-04-01
C9,TSM,14,3,1,0,3,14,2,1,51574,35240,25,6,9,1,1,0,US,US,179,2014-03-03
ALL,FNC,14,6,0,0,6,14,0,0,55300,38000,35,13,0,0,1,0,EU,EU,2122,2013-07-19
Team MRN,CLG,20,14,0,0,14,20,0,0,69704,60617,56,38,0,0,1,0,US,US,105,2013-04-20
RG,G2,28,8,1,0,8,28,3,1,62427,43609,60,21,10,1,1,0,GB,EU,844,2015-03-04
NME,F5,19,13,0,1,13,20,5,2,79516,69589,47,20,10,3,2,0,US,US,827,2015-04-02
GV,NME,21,22,1,0,23,21,0,4,70555,71230,60,60,6,7,0,1,US,US,1964,2015-05-31
CRS,COW,15,23,0,0,23,15,0,0,67787,76689,35,62,0,0,0,1,US,US,106,2013-04-20
ALL,MIL,16,27,0,2,27,16,2,5,75080,91765,33,66,4,11,0,1,EU,EU,556,2014-04-02
DIG,XDG,11,17,0,0,17,11,0,0,56696,62672,29,48,0,0,0,1,US,US,108,2013-04-20
GMB,Lemondogs,23,6,0,0,6,23,0,0,69900,50700,60,11,0,0,1,0,RU,EU,2123,2013-07-19
XDG,CLG,2,13,0,1,13,2,0,3,33060,51846,2,35,0,11,0,1,US,US,181,2014-03-03
S04,ROC,22,14,2,2,14,22,4,5,102073,95468,67,38,10,8,1,0,EU,EU,716,2015-01-31
CWA,MS,20,11,1,0,11,20,3,2,68065,51348,47,19,11,3,1,0,DK,EU,845,2015-03-04
CLB,LMQ,6,22,0,1,22,6,0,3,38762,57988,11,51,2,9,0,1,US,US,244,2014-05-25
Team ALTERNATE,NIP,1,11,0,0,11,1,0,0,40100,52100,1,29,0,0,0,1,PL,EU,2124,2013-07-19
ROC,SK,2,8,0,1,8,2,0,6,51506,71572,5,16,2,10,0,1,EU,EU,593,2014-05-30
CRS,CST,12,23,0,2,23,12,0,5,56348,74212,21,60,5,11,0,1,US,US,182,2014-03-03
EG,CLG,9,7,0,0,7,9,2,0,38890,42328,17,10,2,8,0,1,US,US,248,2014-05-25
CST,CLG,15,9,0,0,9,15,0,0,51227,50737,28,24,0,0,1,0,US,US,109,2013-04-20
MS,FNC,9,24,0,0,24,9,0,0,40200,56600,18,62,0,0,0,1,EU,EU,2125,2013-07-20
DIG,CLG,5,11,0,1,11,5,1,3,42031,54175,10,25,5,11,0,1,US,US,315,2014-07-14
OG,DEU,29,8,0,0,8,29,3,0,56099,38360,64,16,9,2,1,0,EU,,846,2015-03-05
CLG,DIG,9,18,0,2,18,9,0,5,57159,76654,20,55,4,9,0,1,US,US,338,2014-08-02
SK,UOL,22,11,1,0,11,22,4,0,69775,55378,46,30,10,6,1,0,EU,EU,717,2015-01-31
COW,Team MRN,5,25,0,0,25,5,0,0,37828,57824,6,49,0,0,0,1,US,US,111,2013-04-20
LMQ,CRS,11,5,2,0,5,11,3,3,79508,67010,22,12,10,6,1,0,US,US,249,2014-05-26
GMB,ROC,10,4,0,0,4,10,3,0,45274,31453,21,8,11,1,1,0,RU,EU,557,2014-04-03
XDG,C9,13,2,0,0,2,13,0,0,55006,34708,27,1,0,0,1,0,US,US,1926,2013-08-15
XDG,CRS,21,17,0,0,17,21,0,0,68233,50001,46,28,0,0,1,0,US,US,112,2013-04-20
TL,T8,22,15,2,0,15,22,2,2,73509,64921,63,37,11,5,1,0,US,US,1965,2015-06-01
C9,CLB,12,14,0,1,14,12,3,3,74257,73003,28,35,9,9,0,1,US,US,250,2014-05-26
CST,DIG,8,12,0,3,12,8,3,2,64503,77222,19,27,7,11,0,1,US,US,187,2014-03-08
CST,DIG,7,16,0,0,16,7,0,0,37797,54458,14,23,0,0,0,1,US,US,35,2013-02-28
MYM,CW,17,9,1,0,9,17,2,3,74061,64791,44,14,9,5,1,0,PL,DK,718,2015-01-31
TSM,CLG,16,5,1,0,5,17,1,2,46608,33561,45,12,9,1,1,0,US,US,188,2014-03-09
NIP,Lemondogs,7,11,0,0,11,7,0,0,52200,68100,26,31,0,0,0,1,EU,EU,2126,2013-07-20
TSM,CST,12,4,0,0,4,12,0,0,53422,39082,36,9,0,0,1,0,US,US,1927,2013-08-15
T8,TL,16,23,1,0,23,16,3,3,70773,75586,39,70,4,8,0,1,US,US,447,2015-03-30
CRS,EG,12,16,0,3,16,13,1,5,73721,92780,35,46,5,10,0,1,US,US,316,2014-07-14
Team ALTERNATE,ALL,27,22,0,0,22,27,0,0,55000,46300,60,50,0,0,1,0,PL,EU,2127,2013-07-20
H2K,SK,10,16,0,2,16,10,1,3,58627,69720,17,38,4,9,0,1,EU,EU,719,2015-02-06
GV,DIG,5,4,1,0,4,5,5,1,82454,68343,13,9,11,7,1,0,US,US,367,2015-02-01
IMiracle,KT,1,15,0,1,15,2,1,3,44213,60297,1,49,1,9,0,2,KR,KR,915,2015-04-04
SK,GMB,30,10,0,0,10,30,0,0,81300,65300,75,14,0,0,1,0,EU,RU,2128,2013-07-20
TSM,CLB,10,1,1,0,1,10,2,0,52419,35350,28,1,9,0,1,0,US,US,308,2014-07-07
G2,RG,24,12,1,0,14,24,2,0,56276,42970,56,16,11,2,1,0,EU,GB,847,2015-03-05
C9,CLG,12,6,1,0,6,12,1,2,49768,39877,38,14,8,3,1,0,US,US,448,2015-03-30
CW,FNC,11,24,0,1,24,11,2,2,61965,76692,29,57,4,9,0,1,DK,EU,673,2014-07-30
MYM,SK,6,12,0,1,12,6,4,2,58369,64285,17,40,5,8,0,1,PL,EU,558,2014-04-03
T8,DIG,19,5,1,0,5,19,2,2,69983,51583,37,9,10,3,1,0,US,US,416,2015-03-02
P1,CLG,14,29,0,1,29,14,3,1,63668,72316,26,78,6,10,0,1,US,US,1967,2015-06-01
H2K,S04,16,5,1,0,5,16,2,0,51230,39835,37,12,10,2,1,0,EU,EU,2208,2015-06-06
T8,CST,16,14,1,1,14,16,1,4,72335,70534,33,37,8,6,1,0,US,US,368,2015-02-01
WFX,TSM,20,20,2,0,20,20,2,3,75052,79909,56,41,7,9,0,1,US,US,419,2015-03-08
ROC,ALL,11,7,2,0,7,11,3,3,80925,73658,19,19,7,7,0,1,EU,EU,674,2014-07-30
FNC,GMB,23,13,0,0,13,23,0,0,76500,62800,46,25,0,0,1,0,EU,RU,2129,2013-07-21
OG,CW,16,3,1,0,3,16,3,0,50452,38383,27,5,11,3,1,0,EU,DK,2209,2015-06-06
C9,TL,15,3,2,0,3,15,4,0,67974,52090,37,8,11,4,1,0,US,US,369,2015-02-01
DIG,XDG,7,14,0,0,14,7,0,0,38254,57508,13,25,0,0,0,1,US,US,1928,2013-08-15
MS,CWA,13,21,0,2,22,13,0,5,53174,68133,24,38,3,9,0,1,EU,DK,848,2015-03-05
ALL,SK,17,14,1,0,14,17,3,2,71282,64470,37,29,9,5,1,0,EU,EU,594,2014-05-31
CLG,C9,7,17,0,0,17,7,0,0,51711,65189,13,40,0,0,0,1,US,US,1929,2013-08-16
SK,NIP,8,0,0,0,0,8,0,0,47500,47200,12,4,0,0,1,0,EU,EU,2130,2013-07-21
ROC,FNC,11,15,1,2,15,11,3,4,79905,88027,25,34,8,9,0,1,EU,EU,480,2014-01-31
MIL,ROC,3,11,0,1,11,3,1,2,39356,54807,7,22,1,9,0,1,EU,EU,559,2014-04-03
TSM,TL,13,1,1,0,1,13,4,1,65841,50549,42,3,10,3,1,0,US,US,374,2015-02-02
TSM,XDG,7,1,1,1,1,7,4,0,58904,41405,14,1,10,2,1,0,US,US,143,2014-02-02
MS,OG,10,13,0,1,13,11,0,5,53357,67241,18,32,3,11,0,1,EU,EU,849,2015-03-18
CW,FNC,15,26,1,1,26,15,4,2,79741,86082,33,54,6,11,0,1,DK,EU,482,2014-01-31
DIG,C9,16,4,2,0,4,16,4,0,62509,46437,33,10,11,0,1,0,US,US,1966,2015-06-01
CRS,XDG,19,11,3,0,11,19,2,5,103807,91955,58,31,11,5,1,0,US,US,186,2014-03-08
ALL,SK,5,16,0,1,16,5,0,4,49643,68708,7,35,1,9,0,1,EU,EU,483,2014-02-01
Velocity Esports,CRS,2,20,0,0,20,2,0,0,46920,70475,2,45,0,0,0,1,US,US,1930,2013-08-16
MYM,CW,18,10,1,1,10,18,4,0,64883,52746,47,26,11,2,1,0,PL,DK,484,2014-02-01
P1,CLG,4,12,0,1,12,4,1,3,41221,55357,8,31,2,11,0,1,US,US,370,2015-02-01
DIG,TSM,17,7,0,0,7,17,0,0,45276,32436,29,13,0,0,1,0,US,US,12,2013-02-15
EG,XDG,19,8,1,0,8,19,1,2,56352,44218,43,14,8,2,1,0,US,US,189,2014-03-09
CLG,C9,15,7,0,0,7,15,5,0,63099,53281,35,20,10,3,1,0,US,US,372,2015-02-02
SK,S04,11,2,1,0,2,11,3,0,57896,42687,29,6,8,1,1,0,EU,EU,756,2015-02-28
MIL,FNC,11,20,0,2,20,11,0,4,51767,70560,25,52,3,10,0,1,EU,EU,595,2014-05-31
LMQ,DIG,3,17,0,1,17,3,0,4,38175,59375,4,42,1,11,0,1,US,US,256,2014-06-01
OG,UOL,22,4,1,0,4,22,2,1,53191,38148,62,8,10,2,1,0,EU,EU,2210,2015-06-12
SK,ALL,14,10,1,2,10,14,5,1,79820,69969,36,23,10,5,1,0,EU,EU,675,2014-07-31
SK,ROC,14,6,0,1,6,14,4,0,65652,50307,28,14,9,1,1,0,EU,EU,485,2014-02-01
SK,MIL,23,12,1,0,12,24,4,3,89416,76099,58,22,10,3,1,0,EU,EU,521,2014-03-05
ROC,MYM,8,1,1,0,1,8,3,0,55958,39737,18,1,10,1,1,0,EU,PL,676,2014-07-30
TSM,T8,17,7,1,0,7,17,4,1,68230,51709,42,16,9,2,1,0,US,US,423,2015-03-09
GMB,ROC,15,10,2,0,10,15,3,4,89913,77779,34,24,10,6,1,0,RU,EU,757,2015-02-28
DIG,WFX,2,21,0,2,21,2,0,5,50986,73722,8,44,4,12,0,1,US,US,373,2015-02-02
MYM,ALL,6,19,0,2,19,6,3,2,63133,78944,15,51,5,10,0,1,PL,EU,522,2014-03-05
GMB,FNC,23,18,2,0,18,23,6,0,95303,72257,36,38,11,3,1,0,RU,EU,486,2014-02-01
TSM,CRS,20,8,0,0,8,20,0,0,56679,41546,53,18,0,0,1,0,US,US,81,2013-04-06
XDG,CST,15,15,0,0,15,15,0,0,72449,59343,21,27,0,0,1,0,US,US,1931,2013-08-16
SK,CW,18,4,1,0,4,18,2,1,54649,42386,35,3,9,4,1,0,EU,DK,560,2014-04-03
CLG,TSM,11,3,0,0,3,11,2,1,49605,39039,31,3,9,3,1,0,US,US,254,2014-06-01
ALL,GMB,13,11,1,0,11,13,4,0,72632,51916,30,31,10,0,1,0,EU,RU,677,2014-07-31
FNC,ALL,8,17,0,2,17,8,1,4,59583,76872,23,38,1,11,0,1,EU,EU,487,2014-02-07
P1,T8,20,14,0,1,14,20,2,2,67376,62519,54,42,8,8,1,0,US,US,375,2015-02-02
CRS,TSM,6,17,0,0,17,6,0,0,27737,43091,19,54,0,0,0,1,US,US,92,2013-04-13
CLB,EG,3,19,0,2,19,3,1,3,45490,67818,5,50,3,9,0,1,US,US,255,2014-06-01
SK,FNC,11,5,1,0,5,11,3,1,72100,60952,34,8,10,5,1,0,EU,EU,678,2014-07-31
MIL,ROC,8,17,0,3,17,8,2,3,68359,88117,13,44,4,11,0,1,EU,EU,488,2014-02-07
Team MRN,TSM,22,25,0,0,25,22,0,0,63282,72508,52,68,0,0,0,1,US,US,94,2013-04-18
DIG,CST,10,5,0,0,5,10,0,0,62749,41878,17,9,0,0,1,0,US,US,14,2013-02-16
C9,CRS,9,3,1,0,3,9,3,0,55321,38524,19,4,11,2,1,0,US,US,257,2014-06-01
C9,CLB,17,6,1,0,6,17,5,0,74632,56779,24,9,11,4,1,0,US,US,319,2014-07-20
ROC,CW,2,13,0,2,13,2,1,3,45281,59875,5,28,3,9,0,1,EU,DK,679,2014-07-31
EG,DIG,3,8,0,1,8,3,0,4,36325,51896,3,18,2,9,0,1,US,US,268,2014-06-09
GMB,FNC,9,14,1,1,14,9,0,6,60268,77699,25,39,2,10,0,1,RU,EU,561,2014-04-03
CW,GMB,8,19,0,2,19,8,2,4,65233,84529,19,48,2,8,0,1,DK,RU,489,2014-02-07
LT,TG,11,16,0,3,16,11,1,3,61804,76891,32,37,3,11,0,2,EU,,2356,2015-06-04
XDG,TSM,4,18,0,1,18,4,0,3,36504,53360,7,27,0,7,0,1,US,US,194,2014-03-10
TSM,CLG,5,17,0,0,18,5,0,0,47800,57615,17,55,0,0,0,1,US,US,1,2013-02-08
MIL,SK,11,24,0,1,24,11,1,1,39981,56929,20,45,1,10,0,1,EU,EU,562,2014-04-03
CRS,DIG,17,14,0,0,14,18,0,0,66754,62494,40,34,0,0,1,0,US,US,2,2013-02-08
EG,CLG,8,5,0,0,5,8,3,0,46891,39160,19,9,8,4,1,0,US,US,320,2014-07-20
CRS,TSM,7,12,0,2,12,7,2,3,54895,72012,16,35,3,11,0,1,US,US,269,2014-06-09
CLG,CST,19,19,0,0,19,19,0,0,67782,63343,59,50,0,0,1,0,US,US,3,2013-02-08
C9,TSM,5,16,0,2,16,5,4,1,62625,70832,9,36,6,10,0,1,US,US,317,2014-07-14
MYM,MIL,6,28,0,1,28,6,0,3,44440,66465,14,59,3,10,0,1,PL,EU,490,2014-02-07
CRS,CLG,19,3,0,0,3,19,0,0,69637,52264,50,5,0,0,1,0,US,US,5,2013-02-09
TSM,XDG,18,7,1,0,7,18,3,1,64861,45799,24,10,10,2,1,0,US,US,199,2014-03-23
XDG,DIG,4,17,0,1,17,4,2,2,46806,62399,9,41,5,11,0,1,US,US,220,2014-04-06
SK,CW,7,11,0,2,11,7,3,3,69980,82253,14,30,4,11,0,1,EU,DK,491,2014-02-08
DIG,CLG,23,16,0,0,16,23,0,0,60642,50281,71,48,0,0,1,0,US,US,19,2013-02-22
MYM,GMB,13,1,1,0,1,13,2,1,47128,32982,27,0,8,1,1,0,PL,RU,492,2014-02-08
C9,DIG,18,6,0,0,6,18,0,0,55889,41524,34,12,0,0,1,0,US,US,1932,2013-08-16
GV,P1,12,27,0,2,27,12,2,3,71877,91837,16,62,5,11,0,1,US,US,377,2015-02-08
TSD,CLB,7,16,0,1,16,7,0,4,51350,61039,21,42,3,8,0,1,US,US,801,2015-02-19
SK,H2K,16,26,1,0,26,17,4,0,64995,72497,29,72,4,9,0,1,EU,EU,2212,2015-06-12
FNC,ROC,6,13,0,2,13,6,0,4,43281,61156,13,19,1,8,0,1,EU,EU,493,2014-02-08
CST,CRS,16,18,0,0,18,16,0,0,69324,82715,46,46,0,0,0,1,US,US,7,2013-02-09
GMB,SK,21,10,1,0,10,21,3,1,65900,51909,44,11,8,3,1,0,RU,EU,524,2014-03-06
TSM,XDG,22,24,0,0,24,22,0,0,88466,81483,72,57,0,0,1,0,US,US,37,2013-03-01
CW,MYM,26,15,2,0,15,26,4,0,71841,52720,61,24,11,4,1,0,DK,PL,563,2014-04-04
FNC,SK,10,11,0,1,11,10,2,2,49680,55081,20,34,3,8,0,1,EU,EU,574,2014-05-20
TSM,DIG,22,1,1,0,1,22,2,1,50873,29778,56,4,9,2,1,0,US,US,203,2014-03-24
MYM,GIA,26,16,2,0,16,26,4,2,82635,67305,65,37,10,3,1,0,PL,EU,759,2015-03-06
CW,ROC,28,14,2,0,14,28,2,3,80882,63755,81,32,11,3,1,0,DK,EU,596,2014-05-31
CLB,TSM,3,9,0,2,9,3,2,4,70425,82183,6,28,6,10,0,1,US,US,323,2014-07-21
XDG,CST,21,12,1,1,12,21,4,2,89943,78362,47,33,9,4,1,0,US,US,192,2014-03-09
ALL,MIL,19,11,1,0,11,19,3,0,60582,44408,44,19,11,3,1,0,EU,EU,494,2014-02-08
TSM,NME,18,10,1,0,10,18,4,0,61237,49415,39,8,8,2,1,0,US,US,1968,2015-06-01
TSD,TDK,8,18,0,0,18,8,0,5,53374,71754,24,56,2,11,0,1,US,US,802,2015-02-25
COW,TSM,7,17,0,0,17,7,0,0,34264,47799,15,38,0,0,0,1,US,US,100,2013-04-19
CW,ALL,2,11,0,2,11,2,1,4,53188,73808,5,29,3,11,0,1,DK,EU,525,2014-03-06
Velocity Esports,CLG,21,21,0,0,21,21,0,0,67428,66767,53,49,0,0,0,1,US,US,1933,2013-08-16
H2K,GMB,14,10,2,0,10,14,5,0,67444,54891,44,25,11,3,1,0,EU,RU,760,2015-03-06
TSM,CLG,14,5,2,0,5,14,4,2,71578,60198,31,11,10,5,1,0,US,US,434,2015-03-23
CW,S04,20,14,1,2,14,20,5,5,111621,104865,49,24,9,11,1,0,DK,EU,761,2015-03-06
COW,CRS,12,19,0,0,19,12,0,0,57236,68749,27,49,0,0,0,1,US,US,11,2013-02-15
FNC,MYM,24,6,1,0,6,24,3,2,82242,59410,62,14,11,2,1,0,EU,PL,526,2014-03-06
DIG,CRS,30,13,0,0,13,30,0,0,73636,62979,91,41,0,0,1,0,US,US,103,2013-04-19
DEU,G2,19,33,0,2,33,19,3,3,63330,80457,47,98,3,11,0,1,,EU,851,2015-03-18
TSM,C9,16,7,2,0,7,16,1,4,65872,52146,48,13,10,4,1,0,US,US,150,2014-02-03
C9,T8,17,4,1,0,4,17,2,2,61006,47285,43,11,9,3,1,0,US,US,378,2015-02-08
ROC,MIL,3,13,0,1,13,3,0,4,42196,60927,5,14,2,11,0,1,EU,EU,575,2014-05-21
DIG,CRS,10,5,1,0,5,10,2,1,58171,48845,23,8,11,3,1,0,US,US,272,2014-06-15
GMB,CW,23,13,2,0,13,23,3,2,87049,68641,61,33,10,4,1,0,RU,DK,527,2014-03-06
SK,FNC,13,7,2,0,7,13,5,0,68342,53667,30,14,10,2,1,0,EU,EU,762,2015-03-06
ROC,GIA,21,5,1,0,5,21,4,0,71584,56226,62,9,8,4,1,0,EU,EU,722,2015-02-06
CRS,XDG,7,4,0,0,4,7,0,0,47507,38324,19,6,0,0,1,0,US,US,13,2013-02-16
SK,FNC,13,13,2,0,13,13,4,1,78045,64455,29,25,11,3,1,0,EU,EU,495,2014-02-14
CRS,TSM,8,17,0,0,17,8,0,0,43319,54067,21,30,0,0,0,1,US,US,1934,2013-08-16
TL,CST,10,4,2,0,4,11,3,3,74137,56446,21,8,11,2,1,0,US,US,380,2015-02-08
TSM,CST,15,4,0,0,4,15,0,0,64600,47563,31,8,0,0,1,0,US,US,107,2013-04-20
CST,XDG,15,8,0,0,8,15,0,0,57063,52777,41,19,0,0,1,0,US,US,16,2013-02-16
ALL,ROC,17,7,1,0,7,17,0,4,67512,56272,52,10,11,3,1,0,EU,EU,528,2014-03-06
GMB,MYM,7,13,0,1,13,7,2,3,59403,70734,17,35,4,10,0,1,RU,PL,597,2014-05-31
CW,GMB,27,20,1,2,20,27,4,4,94999,93413,68,42,9,9,1,0,DK,RU,723,2015-02-06
CRS,EG,15,5,1,0,5,15,2,0,54475,37869,45,15,9,0,1,0,US,US,259,2014-06-02
TSM,CST,21,9,1,0,9,21,4,1,72184,56767,44,14,10,5,1,0,US,US,221,2014-04-06
CLG,CST,20,4,1,0,4,20,3,0,57298,40217,44,10,10,2,1,0,US,US,195,2014-03-10
DIG,COW,14,0,0,0,0,14,0,0,37915,20236,29,0,0,0,1,0,US,US,38,2013-03-01
DIG,CST,21,9,1,0,9,21,3,2,76800,58138,58,18,10,4,1,0,US,US,152,2014-02-09
OG,MS,19,4,1,0,4,19,1,1,55385,36762,58,10,10,1,1,0,EU,EU,852,2015-03-19
XDG,CLG,12,5,0,0,5,12,0,0,60261,48131,22,11,0,0,1,0,US,US,17,2013-02-22
MIL,FNC,11,15,0,1,15,11,0,4,43717,57243,16,32,2,9,0,1,EU,EU,529,2014-03-06
ROC,UOL,17,4,0,0,4,17,2,1,56990,41259,47,12,9,1,1,0,EU,EU,763,2015-03-06
DIG,CRS,3,16,0,2,16,3,0,4,44119,62419,5,40,3,11,0,1,US,US,196,2014-03-10
P1,C9,19,3,1,1,3,19,2,3,73017,62463,42,6,8,7,1,0,US,US,420,2015-03-08
CRS,CST,15,3,0,0,3,15,0,0,58118,40252,42,7,0,0,1,0,US,US,18,2013-02-22
ALL,GMB,14,3,0,0,3,15,1,3,62374,50640,33,6,10,4,1,0,EU,RU,564,2014-04-04
CLB,CLG,6,10,0,1,10,7,3,0,45217,51036,12,18,4,8,0,1,US,US,260,2014-06-02
WFX,CLG,10,21,0,2,21,10,1,2,44388,62312,30,46,2,9,0,1,US,US,381,2015-02-08
FNC,GIA,25,9,2,0,9,25,3,1,67317,47810,67,19,9,1,1,0,EU,EU,724,2015-02-07
FSN,NME,9,24,0,1,24,9,1,2,53191,71536,16,35,4,11,0,1,US,US,803,2015-02-25
CW,MYM,10,14,0,1,14,10,3,1,58585,62363,19,26,4,8,0,1,DK,PL,496,2014-02-14
NIP,ALL,12,12,0,0,12,12,0,0,78500,78800,35,36,0,0,1,0,EU,EU,2133,2013-07-28
TSM,LMQ,6,16,0,1,16,6,1,5,61053,78745,14,46,2,9,0,1,US,US,262,2014-06-08
ROX,SKT,8,14,3,0,14,8,2,4,74516,76759,19,42,5,7,0,2,KR,KR,919,2015-04-11
COW,XDG,0,14,0,0,14,0,0,0,34960,56263,0,30,0,0,0,1,US,US,20,2013-02-22
TL,DIG,8,18,0,2,18,8,2,3,58845,70637,18,53,5,9,0,1,US,US,384,2015-02-09
C9,CLG,25,12,1,0,12,25,4,0,57084,43207,39,23,9,4,1,0,US,US,197,2014-03-10
TDK,GV,11,16,0,1,16,11,3,2,62872,71072,23,40,4,10,0,1,US,US,1969,2015-06-01
GMB,FNC,8,29,0,0,29,8,0,0,40500,58000,19,57,0,0,0,1,RU,EU,2134,2013-07-28
ROC,ALL,11,7,1,0,7,11,1,4,69254,64829,33,12,8,6,1,0,EU,EU,497,2014-02-14
CST,C9,8,16,0,0,16,8,0,0,45738,58168,15,42,0,0,0,1,US,US,1935,2013-08-17
MS,Team ALTERNATE,8,26,0,0,26,8,0,0,40400,56500,14,45,0,0,0,1,EU,PL,2135,2013-07-28
CRS,EG,28,13,2,0,13,28,3,1,74528,54687,67,26,10,4,1,0,US,US,198,2014-03-10
GMB,MIL,8,10,2,0,10,8,5,0,80973,59634,11,16,10,2,1,0,RU,EU,498,2014-02-14
EG,TSM,17,31,0,1,31,17,3,1,53788,68478,33,75,2,7,0,1,US,US,153,2014-02-09
Team MRN,CST,11,0,0,0,0,11,0,0,60023,39817,27,0,0,0,1,0,US,US,21,2013-02-23
ALL,MYM,7,22,0,1,22,7,0,5,53569,70366,5,57,6,10,0,1,EU,PL,499,2014-02-15
TSM,DIG,20,20,1,1,20,20,4,3,85673,76140,57,48,11,6,1,0,US,US,342,2014-08-03
CLB,F5,24,6,1,0,6,24,1,2,59761,45503,41,13,8,3,1,0,US,US,804,2015-02-25
SK,Lemondogs,10,14,0,0,14,10,0,0,45300,56500,18,18,0,0,0,1,EU,,2136,2013-07-28
TSM,P1,18,4,1,0,5,18,3,0,56240,39858,43,12,10,2,1,0,US,US,386,2015-02-09
SSG,KDM,1,13,0,1,13,2,0,5,41674,60098,3,21,0,10,2,1,KR,KR,920,2015-04-11
Team MRN,DIG,5,17,0,0,17,5,0,0,35839,54424,14,45,0,0,0,1,US,US,43,2013-03-02
CWA,RG,22,17,2,0,17,22,1,4,76341,67291,42,39,11,8,1,0,DK,GB,853,2015-03-19
Team ALTERNATE,GMB,9,18,0,0,18,9,0,0,52200,65000,21,56,0,0,0,1,PL,RU,2137,2013-07-29
CLB,TSM,2,21,0,1,21,2,1,1,38599,56867,4,48,2,9,0,1,US,US,275,2014-06-16
CRS,DIG,19,9,2,0,9,19,5,1,83307,66693,46,22,11,2,1,0,US,US,200,2014-03-23
CLG,COW,18,16,0,0,16,18,0,0,55379,45142,52,44,0,0,1,0,US,US,22,2013-02-23
ALL,GMB,12,13,1,1,13,12,4,1,73527,69148,21,30,9,5,1,0,EU,RU,530,2014-03-07
DIG,CLG,11,10,2,0,10,11,1,4,59839,66031,29,21,5,11,0,1,US,US,264,2014-06-08
FNC,Lemondogs,18,27,0,0,27,18,0,0,71700,86900,39,62,0,0,0,1,EU,,2138,2013-07-29
GMB,H2K,33,15,2,0,15,33,6,1,93936,75658,89,30,10,5,1,0,RU,EU,725,2015-02-07
C9,CST,6,4,1,0,4,6,3,0,52069,40333,13,9,10,3,1,0,US,US,382,2015-02-09
ALL,ROC,9,5,1,0,5,9,2,1,58339,44553,29,13,11,3,1,0,EU,EU,598,2014-06-06
CLB,CRS,17,12,2,0,12,17,6,0,77865,57346,50,31,9,3,1,0,US,US,265,2014-06-08
CST,C9,6,24,0,0,24,6,0,4,34075,56023,10,52,1,8,0,1,US,US,201,2014-03-23
LMQ,CLG,25,21,2,1,21,25,5,0,86089,72145,55,42,11,5,1,0,US,US,324,2014-07-21
TL,T8,8,15,1,1,15,8,1,5,68841,75354,25,40,3,8,0,1,US,US,421,2015-03-08
TSM,CST,12,2,0,0,2,12,0,0,45841,30109,29,5,0,0,1,0,US,US,45,2013-03-16
C9,CLG,16,15,0,1,15,16,2,3,54373,57521,41,35,8,4,1,0,US,US,266,2014-06-09
EG,CLG,9,26,0,1,26,9,1,3,45175,65732,12,49,2,10,0,1,US,US,202,2014-03-23
SK,ALL,9,15,0,0,15,9,0,0,52900,63800,25,33,0,0,0,1,EU,EU,2139,2013-07-29
Team MRN,XDG,6,17,0,0,17,6,0,0,38266,46340,15,47,0,0,0,1,US,US,23,2013-02-23
MS,NIP,11,3,0,0,3,11,0,0,64600,43400,34,8,0,0,1,0,EU,EU,2140,2013-07-29
ROC,MYM,15,8,1,2,8,15,4,1,75500,63751,28,18,10,3,1,0,EU,PL,726,2015-02-07
LMQ,CLB,30,15,0,0,15,30,3,0,65179,50159,49,29,10,2,1,0,US,US,267,2014-06-09
XDG,TSM,34,25,0,0,25,34,0,0,76431,71314,86,65,0,0,1,0,US,US,1937,2013-08-17
CST,COW,18,23,0,0,23,18,0,0,59660,70642,40,67,0,0,0,1,US,US,24,2013-02-23
C9,DIG,17,11,1,0,11,17,4,1,82087,68052,43,22,11,4,1,0,US,US,422,2015-03-09
FNC,MIL,11,19,0,1,20,11,0,5,54633,66046,24,49,6,8,0,1,EU,EU,500,2014-02-15
TSM,P1,17,8,2,0,8,17,4,1,73975,58711,37,23,11,4,1,0,US,US,1972,2015-06-07
TL,P1,3,21,0,1,21,3,0,3,38626,59542,12,59,1,11,0,1,US,US,424,2015-03-09
EG,LMQ,8,3,0,1,3,8,3,3,79750,73609,15,6,8,5,0,1,US,US,271,2014-06-15
GMB,ALL,4,20,0,0,20,4,0,0,44800,54800,14,45,0,0,0,1,RU,EU,2141,2013-08-04
CST,CLG,24,28,0,2,28,24,0,5,65857,85003,46,68,4,10,0,1,US,US,204,2014-03-24
TDK,TSD,24,18,0,0,18,24,4,2,77588,66906,69,43,10,4,1,0,US,US,805,2015-02-26
XDG,CRS,18,12,2,1,12,18,3,4,85727,75381,48,21,11,5,1,0,US,US,205,2014-03-24
CLG,XDG,16,5,0,0,5,16,0,0,47792,39286,49,18,0,0,1,0,US,US,25,2013-02-28
C9,TSM,17,9,3,0,9,17,6,0,89108,65847,54,20,11,4,1,0,US,US,119,2014-01-18
CLG,CLB,24,11,1,0,11,24,3,0,59811,42465,43,25,9,3,1,0,US,US,273,2014-06-15
